|FY16 solitary ALOS|FY17 solitary ALOS|FY18 solitary ALOS|FY16 solitary count|FY17 solitary count|FY18 solitary count|FY17_solitary_ADP
ABQHOLD|||||||
ADLNTCA|42.463022508038584|31.17174959871589|23.248927038626608|311.0|624.0|256.0|58.04657534246575
AGMDCCA|||||||
AKCOOKI|||||||
ALBCONY|||||||
ALEXAVA|||||||
ALLEGNY|||||||
ANCHOAK|||||||
APIBHCA|||||||
APPSCLA|||||||
ASHRSFL|||||||
ATLANGA|62.44444444444444|65.06666666666666|31.818181818181817|9.0|15.0|12.0|1.9917808219178081
ATLHOLD|||||||
BAKERFL|65.625|38.75925925925926|30.62162162162162|24.0|54.0|39.0|5.501369863013698
BALDWAL|||||||
BALHOLD|||||||
BEDCITX|||||||
BERGENJ|20.0|||1.0|0.0|0.0|0.0
BKLHOLD|||||||
BOONEKY||57.0||0.0|1.0|0.0|0.1589041095890411
BOPGUA|||||||
BOPHON||42.0||0.0|1.0|0.0|0.1178082191780822
BOPSPG|||||||
BOSHOLD|||||||
BRINDMA|25.5|20.529411764705884|44.25|6.0|17.0|4.0|1.0027397260273974
BROKSTX|||||||
BTV|33.74193548387097|25.877777777777776|14.5125|62.0|90.0|86.0|8.002739726027396
BURNETX|||||||
BUTLEKS||74.0||0.0|2.0|0.0|0.410958904109589
BUTLEOH||4.0||0.0|1.0|0.0|0.0136986301369863
BWDGICA|||||||
CACFMES||11.115384615384615|1.0|0.0|26.0|1.0|0.8465753424657534
CAJUVMN|||||||
CALDWMO|||||||
CALHOMI|29.444444444444443|18.892857142857142|10.878787878787879|9.0|28.0|36.0|1.5068493150684932
CAMBRPA|4.5|2.25|12.5|2.0|4.0|2.0|0.03561643835616438
CARJAMN|28.0|18.25|29.0|3.0|4.0|2.0|0.21095890410958903
CASCAMT|||5.0|0.0|0.0|1.0|0.0
CASSCNE|||||||
CBRRSNC|||||||
CCAFLAZ|19.64516129032258|38.58695652173913|40.666666666666664|31.0|46.0|22.0|4.610958904109589
CCAHUTX|||||||
CCASDCA|35.962025316455694|39.47933884297521|36.07216494845361|79.0|121.0|108.0|13.306849315068494
CHAHOLD|||||||
CHARLSC||7.0|1.0|0.0|1.0|1.0|0.021917808219178082
CHASEKS||43.0||0.0|1.0|0.0|0.12054794520547946
CHIHOLD|||||||
CHIPPMI|35.25|11.5|24.0|8.0|2.0|5.0|0.0684931506849315
CHRISMO||8.0|13.0|0.0|1.0|1.0|0.024657534246575342
CKHOSFL|||||||
CLAYCIN|||||||
CLEHOLD|||||||
CLICONY|||||||
CLINTPA|8.0|20.7|53.0|2.0|10.0|1.0|0.5205479452054794
CLTHOLD|||||||
CMPJVNY|||||||
COBBJGA|||||||
COLCASC|||||||
COLLIFL|||||||
COMFTFL|||||||
CONCOCA|||||||
CONWECA|||||||
COOSCOR|||||||
CSCNWWA|87.48484848484848|82.60714285714286|44.02|33.0|59.0|57.0|13.454794520547946
CUMBEME|||||||
DAKOTNE|||||||
DALHOLD|||||||
DAVIDTN|||||||
DEAPDMI|||||||
DEKALAL|||||||
DELAWPA|||||||
DENHOLD|||||||
DENICDF|43.72222222222222|59.733333333333334|40.23809523809524|18.0|32.0|22.0|3.158904109589041
DLRHOLD|||||||
DNHMCCO|||||||
DOCORNE|||||||
DODGEWI||||0.0|0.0|1.0|0.0
DSRTVCA|||||||
EAZ|18.446428571428573|30.702479338842974|24.32|112.0|121.0|25.0|9.926027397260274
EHDLGTX|||||||
ELGPDIL|||||||
ELMORID||6.0|17.0|0.0|1.0|2.0|0.019178082191780823
ELPASCO|||||||
ELPHOLD|||||||
ELZICDF|||30.0|0.0|0.0|1.0|0.0
