geoid,geoid_state,geoid_county,name,variable,estimate,moe,aor
01003,01,003,"baldwin county, alabama",Total Population,218022,NA,NOL
01015,01,015,"calhoun county, alabama",Total Population,114277,NA,NOL
01043,01,043,"cullman county, alabama",Total Population,83442,NA,NOL
01049,01,049,"dekalb county, alabama",Total Population,71385,NA,NOL
01051,01,051,"elmore county, alabama",Total Population,81887,NA,NOL
01055,01,055,"etowah county, alabama",Total Population,102501,NA,NOL
01069,01,069,"houston county, alabama",Total Population,104722,NA,NOL
01073,01,073,"jefferson county, alabama",Total Population,659300,NA,NOL
01077,01,077,"lauderdale county, alabama",Total Population,92387,NA,NOL
01081,01,081,"lee county, alabama",Total Population,163941,NA,NOL
01083,01,083,"limestone county, alabama",Total Population,96174,NA,NOL
01089,01,089,"madison county, alabama",Total Population,366519,NA,NOL
01095,01,095,"marshall county, alabama",Total Population,96109,NA,NOL
01097,01,097,"mobile county, alabama",Total Population,413757,NA,NOL
01101,01,101,"montgomery county, alabama",Total Population,225763,NA,NOL
01103,01,103,"morgan county, alabama",Total Population,119089,NA,NOL
01115,01,115,"st. clair county, alabama",Total Population,88690,NA,NOL
01117,01,117,"shelby county, alabama",Total Population,215707,NA,NOL
01121,01,121,"talladega county, alabama",Total Population,79828,NA,NOL
01125,01,125,"tuscaloosa county, alabama",Total Population,208911,NA,NOL
01127,01,127,"walker county, alabama",Total Population,63711,NA,NOL
02020,02,020,"anchorage municipality, alaska",Total Population,291538,NA,SEA
02090,02,090,"fairbanks north star borough, alaska",Total Population,98971,NA,SEA
02170,02,170,"matanuska-susitna borough, alaska",Total Population,107610,NA,SEA
04001,04,001,"apache county, arizona",Total Population,71818,NA,PHO
04003,04,003,"cochise county, arizona",Total Population,126770,NA,PHO
04005,04,005,"coconino county, arizona",Total Population,142854,NA,PHO
04013,04,013,"maricopa county, arizona",Total Population,4410824,NA,PHO
04015,04,015,"mohave county, arizona",Total Population,209550,NA,PHO
04017,04,017,"navajo county, arizona",Total Population,110445,NA,PHO
04019,04,019,"pima county, arizona",Total Population,1039073,NA,PHO
04021,04,021,"pinal county, arizona",Total Population,447138,NA,PHO
04025,04,025,"yavapai county, arizona",Total Population,231993,NA,PHO
04027,04,027,"yuma county, arizona",Total Population,212128,NA,PHO
05007,05,007,"benton county, arkansas",Total Population,272608,NA,NOL
05031,05,031,"craighead county, arkansas",Total Population,108558,NA,NOL
05045,05,045,"faulkner county, arkansas",Total Population,124806,NA,NOL
05051,05,051,"garland county, arkansas",Total Population,99154,NA,NOL
05069,05,069,"jefferson county, arkansas",Total Population,68114,NA,NOL
05085,05,085,"lonoke county, arkansas",Total Population,73657,NA,NOL
05119,05,119,"pulaski county, arkansas",Total Population,392680,NA,NOL
05125,05,125,"saline county, arkansas",Total Population,121421,NA,NOL
05131,05,131,"sebastian county, arkansas",Total Population,127753,NA,NOL
05143,05,143,"washington county, arkansas",Total Population,236961,NA,NOL
05145,05,145,"white county, arkansas",Total Population,78727,NA,NOL
06001,06,001,"alameda county, california",Total Population,1666753,NA,SFR
06007,06,007,"butte county, california",Total Population,231256,NA,SFR
06013,06,013,"contra costa county, california",Total Population,1150215,NA,SFR
06017,06,017,"el dorado county, california",Total Population,190678,NA,SFR
06019,06,019,"fresno county, california",Total Population,994400,NA,SFR
06023,06,023,"humboldt county, california",Total Population,136373,NA,SFR
06025,06,025,"imperial county, california",Total Population,181827,NA,SND
06029,06,029,"kern county, california",Total Population,896764,NA,SFR
06031,06,031,"kings county, california",Total Population,151366,NA,SFR
06033,06,033,"lake county, california",Total Population,64382,NA,SFR
06037,06,037,"los angeles county, california",Total Population,10105518,NA,LOS
06039,06,039,"madera county, california",Total Population,157672,NA,SFR
06041,06,041,"marin county, california",Total Population,259666,NA,SFR
06045,06,045,"mendocino county, california",Total Population,87606,NA,SFR
06047,06,047,"merced county, california",Total Population,274765,NA,SFR
06053,06,053,"monterey county, california",Total Population,435594,NA,SFR
06055,06,055,"napa county, california",Total Population,139417,NA,SFR
06057,06,057,"nevada county, california",Total Population,99696,NA,SFR
06059,06,059,"orange county, california",Total Population,3185968,NA,LOS
06061,06,061,"placer county, california",Total Population,393149,NA,SFR
06065,06,065,"riverside county, california",Total Population,2450758,NA,LOS
06067,06,067,"sacramento county, california",Total Population,1540975,NA,SFR
06071,06,071,"san bernardino county, california",Total Population,2171603,NA,LOS
06073,06,073,"san diego county, california",Total Population,3343364,NA,SND
06075,06,075,"san francisco county, california",Total Population,883305,NA,SFR
06077,06,077,"san joaquin county, california",Total Population,752660,NA,SFR
06079,06,079,"san luis obispo county, california",Total Population,284010,NA,LOS
06081,06,081,"san mateo county, california",Total Population,769545,NA,SFR
