detention_facility_code,detention_facility,address,city,county,state,zip,circuit,rec_count,aor,dmcp_auth,over_72,contract,type_detailed,notes,guaranteed_minimum,capacity,average_length_of_stay_(days),median_length_of_stay_(days)
TONDHLG,TRANSPORT ONLY NO DETENTION-HLG,,,,,,,162360,SNA,,N,Other,TRANSPORT,transport - HOU?,,,0.154050777,0.000694444
MVNSNA,"MVN TRANSPORTATION, SNA",,,,,,,115982,SNA,,N,Other,TRANSPORT,transport,,,0.16349727,0.020833333
MVMELP,"MVM TRANSPORT, EL PASO",,,,,,,39672,ELP,,N,Other,TRANSPORT,transport,,,0.247539149,0.014583333
MTGPCTX,MONTGOMERY PROCESSING CTR,806 Hilbig Rd,Conroe,Montgomery,TX,77301,5,24811,HOU,,Y,CDF,CDF,,,,20.4831134,5.5625
MVMPHO,"MVM TRANSPORT, PHOENIX",,,,,,,20465,PHO,,N,Other,TRANSPORT,transport,,,0.333978302,0.125
MTGHOLD,MONTGOMERY HOLD RM,,,,,,,19244,HOU,,N,Other,HOLD,Hold room,,,0.202729367,0.177083333
TALLAMS,TALLAHATCHIE CO CORR FACILITY,19351 US Hwy 49 N,Tutwiler,Tallahatchie,MS,38963,5,18921,NOL,,Y,USMS IGA,USMS IGA,,,,30.37291546,28.63194444
ELVDFTX,EL VALLE DETENTION FACILITY,1800 Industrial Drive,Raymondville,Willacy,TX,78580,5,17989,SNA,,Y,IGSA,IGSA,,500,660,25.86484908,8.947916667
MVMSND,"MVM TRANSPORT, SAN DIEGO",,,,,,,15591,SND,,N,Other,TRANSPORT,transport,,,0.077405044,0.003472222
LPLCCAZ,LA PALMA CORRECTIONAL CENTER,5501 North La Palma Road,Eloy,Pinal,AZ,85131,9,14316,PHO,,Y,DIGSA,DIGSA,,,,56.60913092,34.81493056
MVMSNP,"MVM TRANSPORT, SAN ANTONIO PROPER",,,,,,,13614,SNA,,N,Other,TRANSPORT,transport,,,0.223315216,0.020833333
LPAPSAZ,LA PALMA CORR CTR APSO,5501 North La Palma Road,Eloy,Pinal,AZ,85131,9,7242,PHO,,Y,IGSA,IGSA,,1800,,44.47980977,21.51041667
OLACCLA,LASALLE CORR CTR OLLA,15976 Hwy 165,Olla,La Salle Parish,LA,71465,5,6159,NOL,,Y,DIGSA,DIGSA,,,,13.48790694,6.927083333
LAWINCI,WINN CORR INSTITUTE,560 Gum Springs Rd.,Winnfield,Winn Parish,LA,71483,5,5111,NOL,,Y,IGSA,IGSA,,946,,99.17773172,83.42395833
TNGLPOE,TORNILLO-GUADALUPE POE,1400 Lower Island Rd.,Tornillo,El Paso,TX,79853,5,4991,ELP,,N,Other,POE,Point of Entry,,,46.37316336,39.99444444
